File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,33.53,78.02,25786.70,60004.67
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,33.40,77.61,25688.28,59692.99
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,32.10,73.51,24692.15,56538.13
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,31.83,72.64,24481.09,55869.70
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,30.05,67.01,23112.86,51536.62
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,29.95,66.69,23035.33,51291.11
CZ12/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,29.91,66.56,23004.47,51193.37
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,46.14,119.07,41112.68,106103.41
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,45.77,117.92,40790.09,105081.79
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,42.90,108.83,38232.87,96982.87
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,42.23,106.70,37633.89,95085.88
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,38.56,95.08,34365.07,84733.48
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,38.30,94.25,34130.43,83990.38
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,38.20,93.92,34037.48,83696.01
CZ13/SFm&1&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,33.76,80.45,25966.38,61876.75
CZ13/SFm&1&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,33.47,79.52,25739.37,61157.83
CZ13/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,32.42,76.20,24933.00,58604.25
CZ13/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,32.06,75.06,24658.04,57733.48
CZ13/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,30.26,69.35,23270.31,53338.40
CZ13/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,30.08,68.80,23136.58,52914.88
CZ13/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,30.01,68.59,23084.86,52751.10
CZ13/SFm&2&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,47.83,125.91,42624.98,112200.98
CZ13/SFm&2&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,47.09,123.55,41962.71,110103.56
CZ13/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,44.82,116.37,39941.53,103702.65
CZ13/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,43.96,113.64,39174.28,101272.77
CZ13/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,40.10,101.43,35738.43,90391.36
CZ13/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,39.68,100.08,35357.35,89184.48
CZ13/SFm&2&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,39.51,99.56,35210.18,88718.40
CZ14/SFm&1&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,35.17,85.76,27051.99,65957.74
CZ14/SFm&1&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,34.98,85.14,26902.06,65482.91
CZ14/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,33.16,79.38,25502.73,61051.46
CZ14/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,32.75,78.08,25188.72,60056.99
CZ14/SFm&1&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,30.29,70.28,23294.37,54057.16
