Class,Chiller Name,Compressor Type,Reference Capacity kW,Reference Capacity (tons),Reference COP,Unloading mechanism,Comment
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 2043kW/9.08COP/Vanes,Centrifugal,2043,581,9.08,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19XL 2057kW/6.05COP/Vanes,Centrifugal,2057,585,6.05,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YT 2110kW/7.15COP/Vanes,Centrifugal,2110,600,7.15,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller McQuay PFH 2124kW/6.03COP/Vanes,Centrifugal,2124,604,6.03,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 2159kW/6.85COP/Vanes,Centrifugal,2159,614,6.85,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 2184kW/6.78COP/Vanes,Centrifugal,2184,621,6.78,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 2201kW/6.69COP/Vanes,Centrifugal,2201,626,6.69,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YT 2233kW/9.54COP/VSD,Centrifugal,2233,635,9.54,VSD,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YT 2233kW/9.54COP/VSD,Centrifugal,2233,635,9.54,VSD,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 2237kW/6.41COP/Vanes,Centrifugal,2237,636,6.41,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 2275kW/6.32COP/Vanes,Centrifugal,2275,647,6.32,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 2275kW/6.32COP/Vanes,Centrifugal,2275,647,6.32,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 2300kW/8.10COP/Vanes,Centrifugal,2300,654,8.10,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 2317kW/6.33COP/VSD,Centrifugal,2317,659,6.33,VSD,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19XR 2391kW/6.77COP/Vanes,Centrifugal,2391,680,6.77,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19XR 2391kW/6.44COP/VSD,Centrifugal,2391,680,6.44,VSD,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 2412kW/5.58COP/Vanes,Centrifugal,2412,686,5.58,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller McQuay PFH 2462kW/6.67COP/Vanes,Centrifugal,2462,700,6.67,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHG670-44&86 2490kW/6.5COP,Centrifugal,2490,708,6.5,Inlet Vanes,50 Hz
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 2567kW/11.77COP/VSD,Centrifugal,2567,730,11.77,VSD,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 2771kW/6.84COP/VSD,Centrifugal,2771,788,6.84,VSD,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 2799kW/6.40COP/Vanes,Centrifugal,2799,796,6.40,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YT 3133kW/9.16COP/Vanes,Centrifugal,3133,891,9.16,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller McQuay PFH 3165kW/6.48COP/Vanes,Centrifugal,3165,900,6.48,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller McQuay PFH 4020kW/7.35COP/Vanes,Centrifugal,4020,1143,7.35,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 4396kW/6.63COP/Vanes,Centrifugal,4396,1250,6.63,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 4477kW/6.64COP/Vanes,Centrifugal,4477,1273,6.64,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 4515kW/6.22COP/Vanes,Centrifugal,4515,1284,6.22,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 4537kW/6.28COP/Vanes,Centrifugal,4537,1290,6.28,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 4610kW/6.34COP/Vanes,Centrifugal,4610,1311,6.34,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19EX 4667kW/6.16COP/Vanes,Centrifugal,4667,1327,6.16,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CVHF 4677kW/6.27COP/Vanes,Centrifugal,4677,1330,6.27,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 4966kW/6.05COP/Vanes,Centrifugal,4966,1412,6.05,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 4969kW/7.14COP/Vanes,Centrifugal,4969,1413,7.14,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 4969kW/7.07COP/Vanes,Centrifugal,4969,1413,7.07,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19EX 4997kW/6.40COP/Vanes,Centrifugal,4997,1421,6.40,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19EX 5148kW/6.34COP/Vanes,Centrifugal,5148,1464,6.34,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 5170kW/7.15COP/Vanes,Centrifugal,5170,1470,7.15,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19EX 5208kW/6.88COP/Vanes,Centrifugal,5208,1481,6.88,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 5465kW/6.94COP/Vanes,Centrifugal,5465,1554,6.94,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YK 5549kW/6.50COP/Vanes,Centrifugal,5549,1578,6.50,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 19FA 5651kW/5.50COP/Vanes,Centrifugal,5651,1607,5.50,Inlet Vanes,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Multistack MS 172kW/3.67COP/None,Reciprocating,172,49,3.67,None,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTWA 383kW/4.17COP/Valve,Screw,383,109,4.17,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHB 531kW/4.83COP/Valve,Screw,531,151,4.83,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHB 538kW/5.12COP/Valve,Screw,538,153,5.12,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHB 542kW/5.26COP/Valve,Screw,542,154,5.26,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YS 672kW/7.90COP/Valve,Screw,672,191,7.90,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 686kW/5.91COP/Valve,Screw,686,195,5.91,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHC 707kW/7.77COP/Valve,Screw,707,201,7.77,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YS 756kW/7.41COP/Valve,Screw,756,215,7.41,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YS 781kW/5.42COP/Valve,Screw,781,222,5.42,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 830kW/6.97COP/Valve,Screw,830,236,6.97,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 862kW/6.11COP/Valve,Screw,862,245,6.11,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 862kW/6.84COP/Valve,Screw,862,245,6.84,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 865kW/6.05COP/Valve,Screw,865,246,6.05,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YS 879kW/5.82COP/Valve,Screw,879,250,5.82,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHC 1009kW/5.37COP/Valve,Screw,1009,287,5.37,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHB 1051kW/5.05COP/Valve,Screw,1051,299,5.05,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 1062kW/5.50COP/Valve,Screw,1062,302,5.50,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHC 1066kW/5.73COP/Valve,Screw,1066,303,5.73,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane RTHC 1094kW/6.55COP/Valve,Screw,1094,311,6.55,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 1108kW/6.92COP/Valve,Screw,1108,315,6.92,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YS 1171kW/9.15COP/Valve,Screw,1171,333,9.15,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Carrier 23XL 1196kW/6.39COP/Valve,Screw,1196,340,6.39,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YS 1554kW/9.31COP/Valve,Screw,1554,442,9.31,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller York YS 1758kW/5.84COP/Valve,Screw,1758,500,5.84,Slide Valve,
Chiller:Electric:ReformulatedEIR,ReformEIRChiller Trane CGWD 207kW/3.99COP/None,Scroll,207,59,3.99,None,
