,relpath,meas_group_vintage_combo,cz,cohort,techid,fileerr_exists,fileout_exists,timestamp,success,warnings,errors,hastempdir
16,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1234kW_5.39COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1234kW_5.39COP_VSD,True,True,2025.08.25 14:29,True,5252139,2,False
17,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1259kW_6.26COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1259kW_6.26COP_Vanes,True,True,2025.08.25 14:30,True,5252596,2,False
18,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1284kW_6.20COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1284kW_6.20COP_Vanes,True,True,2025.08.25 14:31,False,,,False
19,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1294kW_7.61COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1294kW_7.61COP_Vanes,True,True,2025.08.25 14:31,True,5251219,2,False
20,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1350kW_7.90COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1350kW_7.90COP_VSD,True,True,2025.08.25 14:32,True,5285781,2,False
21,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1403kW_7.09COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1403kW_7.09COP_VSD,True,True,2025.08.25 14:32,True,5267288,2,False
22,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1407kW_6.04COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1407kW_6.04COP_VSD,True,True,2025.08.25 14:33,True,5285019,2,False
23,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1410kW_8.54COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1410kW_8.54COP_VSD,True,True,2025.08.25 14:33,True,5251166,2,False
24,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1558kW_5.81COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1558kW_5.81COP_VSD,True,True,2025.08.25 14:35,False,,,False
25,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1586kW_5.53COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1586kW_5.53COP_VSD,True,True,2025.08.25 14:35,False,,,False
26,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1635kW_6.36COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1635kW_6.36COP_Vanes,True,True,2025.08.25 14:35,True,5252732,2,False
27,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1656kW_8.24COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1656kW_8.24COP_VSD,True,True,2025.08.25 14:35,True,5251172,2,False
28,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1723kW_8.32COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1723kW_8.32COP_VSD,True,True,2025.08.25 14:36,True,5251203,2,False
29,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1727kW_9.04COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1727kW_9.04COP_Vanes,True,True,2025.08.25 14:36,True,5287994,2,False
30,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1758kW_5.86COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1758kW_5.86COP_VSD,True,True,2025.08.25 14:38,False,,,False
31,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1776kW_8.00COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1776kW_8.00COP_Vanes,True,True,2025.08.25 14:39,True,5251400,2,False
32,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 1801kW_6.34COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 1801kW_6.34COP_VSD,True,True,2025.08.25 14:41,True,5267544,2,False
33,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 2391kW_6.44COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 2391kW_6.44COP_VSD,True,True,2025.08.25 14:47,True,5267662,2,False
34,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 2391kW_6.77COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 2391kW_6.77COP_Vanes,True,True,2025.08.25 14:47,True,5267672,2,False
35,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 742kW_5.42COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 742kW_5.42COP_VSD,True,True,2025.08.25 14:22,True,5276849,2,False
36,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 823kW_6.28COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 823kW_6.28COP_Vanes,True,True,2025.08.25 14:23,True,5276955,2,False
37,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 869kW_5.57COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 869kW_5.57COP_VSD,True,True,2025.08.25 14:23,True,5252071,2,False
38,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 897kW_6.23COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 897kW_6.23COP_VSD,True,True,2025.08.25 14:24,False,,,False
39,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 897kW_6.50COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 897kW_6.50COP_Vanes,True,True,2025.08.25 14:23,True,5284147,2,False
40,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 19XR 897kW_7.23COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 19XR 897kW_7.23COP_VSD,True,True,2025.08.25 14:23,False,,,False
41,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 1062kW_5.50COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 1062kW_5.50COP_Valve,True,True,2025.08.25 14:32,True,5285136,2,False
42,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Carrier 23XL 1108kW_6.92COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Carrier 23XL 1108kW_6.92COP_Valve,True,True,2025.08.25 14:29,False,,,False
