,relpath,meas_group_vintage_combo,cz,cohort,techid,fileerr_exists,fileout_exists,timestamp,success,warnings,errors,hastempdir
63,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PFH 4020kW_7.35COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PFH 4020kW_7.35COP_Vanes,True,True,2025.08.25 14:50,True,5267651,2,False
64,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay PFH 932kW_5.09COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay PFH 932kW_5.09COP_Vanes,True,True,2025.08.25 14:24,True,5287407,2,False
65,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay WDC 1973kW_6.28COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay WDC 1973kW_6.28COP_Vanes,True,True,2025.08.25 14:42,True,5257445,2,False
66,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay WSC 1519kW_7.10COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay WSC 1519kW_7.10COP_Vanes,True,True,2025.08.25 14:35,True,5257412,2,False
67,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay WSC 1751kW_6.73COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay WSC 1751kW_6.73COP_Vanes,True,True,2025.08.25 14:36,True,5257425,2,False
68,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay WSC 471kW_5.89COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay WSC 471kW_5.89COP_Vanes,True,True,2025.08.25 12:33,True,5256895,2,False
69,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller McQuay WSC 816kW_6.74COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller McQuay WSC 816kW_6.74COP_Vanes,True,True,2025.08.25 14:22,True,5257180,2,False
70,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Multistack MS 172kW_3.67COP_None\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Multistack MS 172kW_3.67COP_None,True,True,2025.08.25 14:57,True,5289517,2,False
71,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CGWD 207kW_3.99COP_None\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CGWD 207kW_3.99COP_None,True,True,2025.08.25 14:22,True,5285716,2,False
72,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1080kW_7.39COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1080kW_7.39COP_Vanes,True,True,2025.08.25 14:26,True,5280862,2,False
73,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1125kW_4.89COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1125kW_4.89COP_Vanes,True,True,2025.08.25 14:27,True,5280194,2,False
74,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1129kW_7.19COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1129kW_7.19COP_Vanes,True,True,2025.08.25 14:27,True,5279443,2,False
75,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1329kW_5.38COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1329kW_5.38COP_Vanes,True,True,2025.08.25 14:31,True,5285098,2,False
76,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1372kW_7.49COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1372kW_7.49COP_Vanes,True,True,2025.08.25 14:32,False,,,False
77,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1407kW_7.14COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1407kW_7.14COP_VSD,True,True,2025.08.25 14:32,True,5285430,2,False
78,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1442kW_6.61COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1442kW_6.61COP_VSD,True,True,2025.08.25 14:33,True,5288369,2,False
79,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1484kW_9.96COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1484kW_9.96COP_VSD,True,True,2025.08.25 14:34,True,5287640,2,False
80,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHE 1758kW_5.96COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHE 1758kW_5.96COP_Vanes,True,True,2025.08.25 14:38,True,5288641,2,False
81,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 1681kW_6.59COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 1681kW_6.59COP_Vanes,True,True,2025.08.25 14:36,True,5285053,2,False
82,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 1758kW_5.96COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 1758kW_5.96COP_Vanes,True,True,2025.08.25 14:38,True,5281564,2,False
83,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 1758kW_6.46COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 1758kW_6.46COP_VSD,True,True,2025.08.25 14:38,True,5281482,2,False
84,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 1758kW_6.87COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 1758kW_6.87COP_Vanes,True,True,2025.08.25 14:39,True,5281521,2,False
85,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 1779kW_6.18COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 1779kW_6.18COP_Vanes,True,True,2025.08.25 14:39,True,5285058,2,False
86,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 2043kW_9.08COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 2043kW_9.08COP_Vanes,True,True,2025.08.25 14:44,True,5288572,2,False
87,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 2184kW_6.78COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 2184kW_6.78COP_Vanes,True,True,2025.08.25 14:45,False,,,False
88,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 2300kW_8.10COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 2300kW_8.10COP_Vanes,True,True,2025.08.25 14:46,True,5288698,2,False
89,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 2317kW_6.33COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 2317kW_6.33COP_VSD,True,True,2025.08.25 14:47,True,5288429,2,False
90,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 2567kW_11.77COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 2567kW_11.77COP_VSD,True,True,2025.08.25 14:49,True,5287908,2,False
91,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 2799kW_6.40COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 2799kW_6.40COP_Vanes,True,True,2025.08.25 14:50,True,5287982,2,False
92,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 4610kW_6.34COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 4610kW_6.34COP_Vanes,True,True,2025.08.25 14:52,True,5287926,2,False
93,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHF 4677kW_6.27COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHF 4677kW_6.27COP_Vanes,True,True,2025.08.25 14:54,True,5288676,2,False
94,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane CVHG670-44&86 2490kW_6.5COP\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane CVHG670-44&86 2490kW_6.5COP,True,True,2025.08.25 14:48,True,5304983,2,False
95,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHB 1051kW_5.05COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHB 1051kW_5.05COP_Valve,True,True,2025.08.25 14:33,True,5288535,2,False
96,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHB 531kW_4.83COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHB 531kW_4.83COP_Valve,True,True,2025.08.25 14:55,False,,,False
97,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHB 538kW_5.12COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHB 538kW_5.12COP_Valve,True,True,2025.08.25 14:54,True,5285513,2,False
98,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHB 542kW_5.26COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHB 542kW_5.26COP_Valve,True,True,2025.08.25 14:52,True,5285488,2,False
99,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHC 1009kW_5.37COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHC 1009kW_5.37COP_Valve,True,True,2025.08.25 14:35,True,5285078,2,False
100,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHC 1066kW_5.73COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHC 1066kW_5.73COP_Valve,True,True,2025.08.25 14:30,True,5285069,2,False
101,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHC 1094kW_6.55COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHC 1094kW_6.55COP_Valve,True,True,2025.08.25 14:29,True,5285068,2,False
102,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTHC 707kW_7.77COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTHC 707kW_7.77COP_Valve,True,True,2025.08.25 14:46,True,5279828,2,False
103,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller Trane RTWA 383kW_4.17COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller Trane RTWA 383kW_4.17COP_Valve,True,True,2025.08.25 14:55,True,5288937,2,False
104,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 1259kW_6.45COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 1259kW_6.45COP_Vanes,True,True,2025.08.25 14:30,True,5257321,2,False
105,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 1881kW_6.53COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 1881kW_6.53COP_Vanes,True,True,2025.08.25 14:42,True,5251000,2,False
106,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 1997kW_7.24COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 1997kW_7.24COP_Vanes,True,True,2025.08.25 14:43,True,5257256,2,False
107,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 2159kW_6.85COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 2159kW_6.85COP_Vanes,True,True,2025.08.25 14:45,True,5287621,2,False
108,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 2201kW_6.69COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 2201kW_6.69COP_Vanes,True,True,2025.08.25 14:45,True,5287762,2,False
109,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 2237kW_6.41COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 2237kW_6.41COP_Vanes,True,True,2025.08.25 14:45,True,5287710,2,False
110,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 2275kW_6.32COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 2275kW_6.32COP_Vanes,True,True,2025.08.25 14:46,True,5287722,2,False
111,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 2412kW_5.58COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 2412kW_5.58COP_Vanes,True,True,2025.08.25 14:48,True,5287843,2,False
112,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 2771kW_6.84COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 2771kW_6.84COP_VSD,True,True,2025.08.25 14:49,True,5285143,2,False
113,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 4396kW_6.63COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 4396kW_6.63COP_Vanes,True,True,2025.08.25 14:51,True,5288767,2,False
114,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 4477kW_6.64COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 4477kW_6.64COP_Vanes,True,True,2025.08.25 14:52,True,5288755,2,False
115,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 4515kW_6.22COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 4515kW_6.22COP_Vanes,True,True,2025.08.25 14:52,True,5288579,2,False
116,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 4537kW_6.28COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 4537kW_6.28COP_Vanes,True,True,2025.08.25 14:52,True,5288812,2,False
117,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 4966kW_6.05COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 4966kW_6.05COP_Vanes,True,True,2025.08.25 14:54,True,5287626,2,False
118,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 4969kW_7.07COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 4969kW_7.07COP_Vanes,True,True,2025.08.25 14:54,True,5287698,2,False
119,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 4969kW_7.14COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 4969kW_7.14COP_Vanes,True,True,2025.08.25 14:54,True,5287719,2,False
120,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 5170kW_7.15COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 5170kW_7.15COP_Vanes,True,True,2025.08.25 14:55,True,5287619,2,False
121,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 5465kW_6.94COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 5465kW_6.94COP_Vanes,True,True,2025.08.25 14:55,True,5287727,2,False
122,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YK 5549kW_6.50COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YK 5549kW_6.50COP_Vanes,True,True,2025.08.25 14:56,True,5287659,2,False
123,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YS 1171kW_9.15COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YS 1171kW_9.15COP_Valve,True,True,2025.08.25 14:27,True,5254008,2,False
124,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YS 1554kW_9.31COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YS 1554kW_9.31COP_Valve,True,True,2025.08.25 14:24,True,5280823,2,False
125,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YS 1758kW_5.84COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YS 1758kW_5.84COP_Valve,True,True,2025.08.25 14:23,True,5288522,2,False
126,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YS 672kW_7.90COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YS 672kW_7.90COP_Valve,True,True,2025.08.25 14:50,True,5254140,2,False
127,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YS 756kW_7.41COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YS 756kW_7.41COP_Valve,True,True,2025.08.25 14:45,True,5278524,2,False
128,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YS 781kW_5.42COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YS 781kW_5.42COP_Valve,True,True,2025.08.25 14:43,True,5288585,2,False
129,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YS 879kW_5.82COP_Valve\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YS 879kW_5.82COP_Valve,True,True,2025.08.25 14:36,True,5287369,2,False
130,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1023kW_5.81COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1023kW_5.81COP_Vanes,True,True,2025.08.25 14:24,True,5288314,2,False
131,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1048kW_6.06COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1048kW_6.06COP_Vanes,True,True,2025.08.25 14:26,True,5288524,2,False
132,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1055kW_5.96COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1055kW_5.96COP_Vanes,True,True,2025.08.25 14:26,True,5288163,2,False
133,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1090kW_7.57COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1090kW_7.57COP_VSD,True,True,2025.08.25 14:26,True,5277533,2,False
134,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1125kW_7.92COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1125kW_7.92COP_VSD,True,True,2025.08.25 14:27,True,5249210,2,False
135,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1266kW_4.39COP_Vanes\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1266kW_4.39COP_Vanes,True,True,2025.08.25 14:30,True,5280841,2,False
136,IPLV testbed\runs\CZ01\OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr\ReformEIRChiller York YT 1368kW_7.35COP_VSD\instance.idf,IPLV testbed,CZ01,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1368kW_7.35COP_VSD,True,True,2025.08.25 14:32,True,5274686,2,False
