File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Type/CHW CHILLER 1,Reference Capacity/CHW CHILLER 1,Reference Efficiency/CHW CHILLER 1,Rated Capacity/CHW CHILLER 1,Rated Efficiency/CHW CHILLER 1,IPLV in SI Units/CHW CHILLER 1,Chiller Cooling Capacity,Occupied unmet heating hour,Occupied unmet cooling hour	,Value/Program Version and Build,Value/Weather File,Area/Conditioned Total,Electricity Intensity/HVAC,Natural Gas Intensity/HVAC,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Electricity:Facility [J](Hourly)
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1396kW_7.35COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1396kW_7.35COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1396kW_7.35COP_Vanes,Chiller:Electric:ReformulatedEIR,1396100.0,7.35,1114480.43,6.45,3.83,2741733.91,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:32",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,29.53,51.46,0.0,3409.53,23792.96,0.0,29466.65,0.0,7853.93,10319.62,5852.92,0.0,0.0,0.0,0.0,0.0,42771.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,164795349.3683666
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1758kW_6.26COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1758kW_6.26COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1758kW_6.26COP_Vanes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1368kW_7.35COP_VSD/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1368kW_7.35COP_VSD,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1368kW_7.35COP_VSD,Chiller:Electric:ReformulatedEIR,1367900.0,7.35,1055175.83,6.57,3.91,2857617.38,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:32",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,28.32,51.46,0.0,2312.14,23792.96,0.0,29466.65,0.0,7853.93,10319.46,5827.55,0.0,0.0,0.0,0.0,0.0,42771.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,151956842.7750103
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1663kW_9.34COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1663kW_9.34COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1663kW_9.34COP_Vanes,Chiller:Electric:ReformulatedEIR,1663300.0,9.34,1077515.0,6.51,7.19,2830798.15,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:35",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,27.04,51.46,0.0,688.02,23792.96,0.0,29466.65,0.0,7853.93,10634.91,5948.83,0.0,0.0,0.0,0.0,0.0,42771.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,111164562.35135287
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1758kW_5.96COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1758kW_5.96COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1758kW_5.96COP_Vanes,Chiller:Electric:ReformulatedEIR,1758300.0,5.96,1867347.21,5.89,5.95,2759867.73,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:38",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,24.68,51.46,0.0,1589.17,23792.96,0.0,29466.65,0.0,7853.92,8615.58,4873.16,0.0,0.0,0.0,0.0,0.0,42771.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,111639094.05985324
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1758kW_6.28COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1758kW_6.28COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1758kW_6.28COP_Vanes,Chiller:Electric:ReformulatedEIR,1758300.0,6.28,1649705.29,6.21,7.15,3646112.57,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:38",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,30.73,51.46,0.0,660.56,23792.96,0.0,29466.65,0.0,7853.93,12812.82,7230.22,0.0,0.0,0.0,0.0,0.0,42771.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,126969898.16866049
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1867kW_10.09COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1867kW_10.09COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1867kW_10.09COP_Vanes,Chiller:Electric:ReformulatedEIR,1867300.0,10.09,1578570.68,6.14,6.78,3801493.31,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:41",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,31.03,51.46,0.0,1586.95,23792.96,0.0,29466.65,0.0,7853.92,12430.84,6964.59,0.0,0.0,0.0,0.0,0.0,42771.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,142933673.09819585
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1794kW_8.11COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1794kW_8.11COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1794kW_8.11COP_Vanes,Chiller:Electric:ReformulatedEIR,1793500.0,8.11,1248371.95,6.18,6.22,3327406.01,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:39",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,31.68,51.46,0.0,1074.13,23792.96,0.0,29466.65,0.0,7853.93,13124.83,7381.22,0.0,0.0,0.0,0.0,0.0,42771.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,140106116.4122193
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1794kW_7.90COP_VSD/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1794kW_7.90COP_VSD,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1794kW_7.90COP_VSD,Chiller:Electric:ReformulatedEIR,1793500.0,7.9,1938152.17,5.8,9.54,2116115.0,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:40",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,31.1,51.46,0.0,543.67,23792.96,0.0,29466.65,0.0,7853.93,13124.71,7373.66,0.0,0.0,0.0,0.0,0.0,42771.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,126260373.50844908
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1881kW_6.77COP_VSD/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1881kW_6.77COP_VSD,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1881kW_6.77COP_VSD,Chiller:Electric:ReformulatedEIR,1881400.0,6.77,1569890.32,5.98,7.39,3950153.98,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:41",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,31.38,51.46,0.0,1194.64,23792.96,0.0,29466.65,0.0,7853.93,12870.15,7242.03,0.0,0.0,0.0,0.0,0.0,42771.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,138256988.06895512
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 2110kW_7.15COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 2110kW_7.15COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 2110kW_7.15COP_Vanes,Chiller:Electric:ReformulatedEIR,2110000.0,7.15,1583452.3,6.22,6.53,3424317.82,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:44",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,31.56,51.46,0.0,1368.54,23792.96,0.0,29466.65,0.0,7853.93,12870.71,7232.87,0.0,0.0,0.0,0.0,0.0,42771.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,136708038.12202168
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 3133kW_9.16COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 3133kW_9.16COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 3133kW_9.16COP_Vanes,Chiller:Electric:ReformulatedEIR,3133300.0,9.16,2452034.7,6.3,7.17,4406420.55,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:50",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,38.56,51.46,0.0,1138.97,23792.96,0.0,29466.65,0.0,7853.93,17219.48,9621.83,0.0,0.0,0.0,0.0,0.0,42771.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,162946718.97072414
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 1934kW_7.55COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 1934kW_7.55COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 1934kW_7.55COP_Vanes,Chiller:Electric:ReformulatedEIR,1934100.0,7.55,1504562.65,6.59,8.98,2927416.78,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:42",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,29.46,51.46,0.0,1006.12,23792.96,0.0,29466.65,0.0,7853.93,11873.08,6645.53,0.0,0.0,0.0,0.0,0.0,42771.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,120795324.04148006
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 2233kW_9.54COP_VSD/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 2233kW_9.54COP_VSD,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 2233kW_9.54COP_VSD,Chiller:Electric:ReformulatedEIR,2233000.0,9.54,1557521.04,6.23,-0.43,4002759.33,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:45",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,35.36,51.46,0.0,242.53,23792.96,0.0,29466.65,0.0,7853.93,15893.86,8865.8,0.0,0.0,0.0,0.0,0.0,42771.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,140483231.1041588
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 563kW_10.61COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 563kW_10.61COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 563kW_10.61COP_Vanes,Chiller:Electric:ReformulatedEIR,562600.0,10.61,632198.42,5.58,7.32,622983.84,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:22",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,17.1,51.46,0.0,2731.3,23792.96,0.0,29466.65,0.0,7853.93,3383.53,1918.8,0.0,0.0,0.0,0.0,0.0,42771.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,76616377.37111405
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 897kW_6.27COP_VSD/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 897kW_6.27COP_VSD,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 897kW_6.27COP_VSD,Chiller:Electric:ReformulatedEIR,896700.0,6.27,863238.6,5.68,7.91,3286193.47,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:24",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,21.01,51.46,0.0,645.51,23792.96,0.0,29466.65,0.0,7853.93,7051.74,3972.91,0.0,0.0,0.0,0.0,0.0,42771.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,87575736.49438874
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 897kW_7.60COP_VSD/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 897kW_7.60COP_VSD,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 897kW_7.60COP_VSD,Chiller:Electric:ReformulatedEIR,896700.0,7.6,668985.87,6.2,6.23,4241287.58,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:23",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,21.16,51.46,0.0,786.87,23792.96,0.0,29466.65,0.0,7853.93,7051.72,3967.72,0.0,0.0,0.0,0.0,0.0,42771.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,101951229.96847767
runs/CZ01/OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr/ReformEIRChiller York YT 960kW_4.64COP_Vanes/instance-out.sql,CZ01,OfS,0,cAVVG,Ex,Chiller,WtrCldCentChlr,ReformEIRChiller York YT 960kW_4.64COP_Vanes,OfS&0&cAVVG&Ex&Chiller__WtrCldCentChlr,ReformEIRChiller York YT 960kW_4.64COP_Vanes,Chiller:Electric:ReformulatedEIR,960000.0,4.64,1035365.46,4.46,5.06,1614771.03,38.66,86.84,"EnergyPlus, Version 22.2.0-c249759bad, YMD=2025.08.25 14:24",CA_EUREKA - USA Custom-725940 WMO#=725940,929.25,21.52,51.46,0.0,1974.35,23792.96,0.0,29466.65,0.0,7853.93,6482.97,3683.56,0.0,0.0,0.0,0.0,0.0,42771.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5049.17,0.0,0.0,99299727.25102669
