File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ06/MFm&0&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,40.30,82.58,207015.91,424234.67
CZ06/MFm&0&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,40.07,81.86,205852.07,420548.79
CZ06/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,39.70,80.69,203947.28,414509.58
CZ06/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,39.48,80.00,202824.23,410952.87
CZ06/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,38.55,77.05,198044.04,395806.20
CZ06/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,38.44,76.69,197469.05,393985.18
CZ06/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,38.40,76.56,197248.83,393287.76
CZ07/MFm&0&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,39.14,79.63,201091.51,409071.84
CZ07/MFm&0&rDXHP&Ex&dxHP_equip/Std-RE-HV-RoomAC-9.8E-ERheat/instance-out.sql,38.97,79.06,200175.24,406170.00
CZ07/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-12.5-SEER2-6.4-HSPF2/instance-out.sql,38.64,78.04,198516.48,400913.48
CZ07/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,38.47,77.49,197617.81,398067.41
CZ07/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,37.73,75.15,193837.03,386080.07
CZ07/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,37.65,74.88,193392.34,384671.74
CZ07/MFm&0&rDXHP&Ex&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,37.61,74.77,193221.76,384131.51
CZ08/MFm&0&rDXHP&Ex&dxHP_equip/Pre-RE-HV-RoomAC-9.0E-ERheat/instance-out.sql,42.76,91.45,219682.81,469806.43
