File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,192838.01,1344.23,11357.09,12897.22,0.0,73945.06,0.0,1663.59,0.0,0.0,0.0,0.0,91630.8,0.0,0.0,1344.23,11357.09,0.00,0.00,59678.04,14267.02
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,192146.97,1304.98,10705.3,12897.22,0.0,73945.06,0.0,1663.59,0.0,0.0,0.0,0.0,91630.8,0.0,0.0,1304.98,10705.30,0.00,0.00,59678.04,14267.02
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,191453.06,1277.02,10039.35,12897.22,0.0,73945.06,0.0,1663.59,0.0,0.0,0.0,0.0,91630.8,0.0,0.0,1277.02,10039.35,0.00,0.00,59678.04,14267.02
CZ10/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,191189.75,1264.97,9788.09,12897.22,0.0,73945.06,0.0,1663.59,0.0,0.0,0.0,0.0,91630.8,0.0,0.0,1264.97,9788.09,0.00,0.00,59678.04,14267.02
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,204205.11,3106.86,16450.12,12897.22,0.0,73945.06,0.0,2401.48,0.0,0.0,0.0,0.0,95404.36,0.0,0.0,3106.86,16450.12,0.00,0.00,59678.04,14267.02
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,203198.68,3016.45,15534.09,12897.22,0.0,73945.06,0.0,2401.48,0.0,0.0,0.0,0.0,95404.36,0.0,0.0,3016.45,15534.09,0.00,0.00,59678.04,14267.02
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,202198.34,2952.04,14598.16,12897.22,0.0,73945.06,0.0,2401.48,0.0,0.0,0.0,0.0,95404.36,0.0,0.0,2952.04,14598.16,0.00,0.00,59678.04,14267.02
CZ11/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,201817.46000000002,2924.29,14245.03,12897.22,0.0,73945.06,0.0,2401.48,0.0,0.0,0.0,0.0,95404.36,0.0,0.0,2924.29,14245.03,0.00,0.00,59678.04,14267.02
CZ12/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,196591.2,3623.59,6580.58,12897.22,0.0,73945.06,0.0,1313.16,0.0,0.0,0.0,0.0,98231.58,0.0,0.0,3623.59,6580.58,0.00,0.00,59678.04,14267.02
CZ12/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,196098.08000000002,3518.4,6192.65,12897.22,0.0,73945.06,0.0,1313.16,0.0,0.0,0.0,0.0,98231.58,0.0,0.0,3518.40,6192.65,0.00,0.00,59678.04,14267.02
CZ12/MFm&0&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,195626.78,3443.45,5796.29,12897.22,0.0,73945.06,0.0,1313.16,0.0,0.0,0.0,0.0,98231.58,0.0,0.0,3443.45,5796.29,0.00,0.00,59678.04,14267.02
