File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ05/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,28.20,59.25,21687.83,45569.01
CZ05/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,34.91,81.87,31111.49,72961.16
CZ05/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,34.83,81.61,31038.49,72729.96
CZ05/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,34.76,81.40,30978.36,72539.55
CZ05/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,34.74,81.31,30953.90,72462.05
CZ06/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,27.13,58.34,20868.61,44873.15
CZ06/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,27.10,58.24,20844.29,44796.15
CZ06/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,27.07,58.15,20821.06,44722.56
CZ06/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,27.06,58.11,20812.09,44694.17
CZ06/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,34.02,81.18,30319.47,72346.67
CZ06/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,33.91,80.83,30219.34,72029.57
CZ06/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,33.80,80.49,30124.37,71728.78
CZ06/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,33.76,80.36,30087.63,71612.43
CZ07/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,26.82,57.68,20627.67,44363.09
CZ07/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,26.80,57.60,20608.99,44303.94
CZ07/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,26.77,57.53,20591.25,44247.76
CZ07/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,26.76,57.50,20584.39,44226.03
CZ07/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,33.14,78.67,29528.03,70101.29
CZ07/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,33.06,78.43,29461.02,69889.07
CZ07/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,32.99,78.21,29398.99,69692.62
CZ07/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,32.96,78.12,29374.79,69615.99
CZ08/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,27.35,59.60,21032.14,45841.24
CZ08/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,27.29,59.42,20987.89,45701.10
CZ08/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,27.23,59.24,20943.90,45561.81
CZ08/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,27.21,59.17,20927.16,45508.77
CZ08/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,35.11,85.13,31284.49,75866.16
CZ08/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,34.92,84.55,31120.67,75347.33
CZ08/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,34.74,83.98,30959.32,74836.34
CZ08/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,34.67,83.76,30897.70,74641.18
CZ09/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,27.49,60.31,21146.35,46383.45
CZ09/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-16.0-SEER2-8.1-HSPF2/instance-out.sql,27.43,60.11,21097.70,46229.38
CZ09/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-18.7-SEER2-8.7-HSPF2/instance-out.sql,27.37,59.91,21049.75,46077.50
CZ09/SFm&1&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-20.5-SEER2-9.1-HSPF2/instance-out.sql,27.34,59.83,21031.44,46019.52
CZ09/SFm&2&rDXHP&New&dxHP_equip/RE-dxHP_equip-spltSEER-14.3-SEER2-7.5-HSPF2/instance-out.sql,35.86,87.70,31952.61,78153.78
