skip,case_name,:main_cool_coil_type,:chw_chiller_model,:chw_chiller_eir_fplr_type,:chw_chiller_cop,:chw_cooling_source,:chw_chiller_type,:chw_wc_option,:chw_pump_type,:chw_chiller_condenser,:cool_sizing_factor,:main_hvac_type,:heat_sizing_factor,:hvac_config,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:hw_boiler_eff,:chw_library_chiller_model,:chw_num_chillers
#,ReformEIRChiller York YT 1368kW_7.35COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1368kW/7.35COP/VSD,1
#,ReformEIRChiller Trane CVHE 1372kW_7.49COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHE 1372kW/7.49COP/Vanes,1
#,ReformEIRChiller York YT 1396kW_7.35COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1396kW/7.35COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1403kW_7.09COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1403kW/7.09COP/VSD,1
#,ReformEIRChiller York YT 1403kW_6.94COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1403kW/6.94COP/VSD,1
#,ReformEIRChiller Trane CVHE 1407kW_7.14COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHE 1407kW/7.14COP/VSD,1
#,ReformEIRChiller McQuay PFH 1407kW_6.60COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PFH 1407kW/6.60COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1407kW_6.04COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1407kW/6.04COP/VSD,1
#,ReformEIRChiller Carrier 19XR 1410kW_8.54COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1410kW/8.54COP/VSD,1
#,ReformEIRChiller Trane CVHE 1442kW_6.61COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHE 1442kW/6.61COP/VSD,1
#,ReformEIRChiller York YT 1459kW_6.40COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1459kW/6.40COP/VSD,1
#,ReformEIRChiller Trane CVHE 1484kW_9.96COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHE 1484kW/9.96COP/VSD,1
#,ReformEIRChiller York YT 1495kW_7.51COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1495kW/7.51COP/VSD,1
#,ReformEIRChiller McQuay WSC 1519kW_7.10COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay WSC 1519kW/7.10COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1558kW_5.81COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1558kW/5.81COP/VSD,1
#,ReformEIRChiller Carrier 19XR 1586kW_5.53COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1586kW/5.53COP/VSD,1
#,ReformEIRChiller McQuay PEH 1635kW_7.47COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PEH 1635kW/7.47COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1635kW_6.36COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1635kW/6.36COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1656kW_8.24COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1656kW/8.24COP/VSD,1
#,ReformEIRChiller York YT 1663kW_9.34COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1663kW/9.34COP/Vanes,1
#,ReformEIRChiller Carrier 19XL 1674kW_7.89COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XL 1674kW/7.89COP/Vanes,1
#,ReformEIRChiller Trane CVHF 1681kW_6.59COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHF 1681kW/6.59COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1723kW_8.32COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1723kW/8.32COP/VSD,1
#,ReformEIRChiller Carrier 19XR 1727kW_9.04COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1727kW/9.04COP/Vanes,1
#,ReformEIRChiller McQuay WSC 1751kW_6.73COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay WSC 1751kW/6.73COP/Vanes,1
#,ReformEIRChiller Trane CVHF 1758kW_5.96COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHF 1758kW/5.96COP/Vanes,1
#,ReformEIRChiller York YT 1758kW_5.76COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1758kW/5.76COP/VSD,1
#,ReformEIRChiller York YT 1758kW_6.26COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1758kW/6.26COP/Vanes,1
#,ReformEIRChiller York YT 1758kW_5.96COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1758kW/5.96COP/Vanes,1
#,ReformEIRChiller Trane CVHE 1758kW_5.96COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHE 1758kW/5.96COP/Vanes,1
#,ReformEIRChiller York YT 1758kW_6.28COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1758kW/6.28COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1758kW_5.86COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1758kW/5.86COP/VSD,1
#,ReformEIRChiller Trane CVHF 1758kW_6.46COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHF 1758kW/6.46COP/VSD,1
#,ReformEIRChiller Trane CVHF 1758kW_6.87COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHF 1758kW/6.87COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1776kW_8.00COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1776kW/8.00COP/Vanes,1
#,ReformEIRChiller Carrier 19XL 1779kW_6.18COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XL 1779kW/6.18COP/Vanes,1
#,ReformEIRChiller Trane CVHF 1779kW_6.18COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHF 1779kW/6.18COP/Vanes,1
#,ReformEIRChiller York YT 1794kW_8.11COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1794kW/8.11COP/Vanes,1
#,ReformEIRChiller York YT 1794kW_7.90COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1794kW/7.90COP/VSD,1
#,ReformEIRChiller Carrier 19XL 1797kW_5.69COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XL 1797kW/5.69COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1801kW_6.34COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1801kW/6.34COP/VSD,1
#,ReformEIRChiller York YT 1867kW_10.09COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1867kW/10.09COP/Vanes,1
#,ReformEIRChiller Carrier 19XL 1871kW_6.49COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XL 1871kW/6.49COP/Vanes,1
#,ReformEIRChiller York YT 1881kW_6.77COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1881kW/6.77COP/VSD,1
#,ReformEIRChiller York YK 1881kW_6.53COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YK 1881kW/6.53COP/Vanes,1
#,ReformEIRChiller York YK 1881kW_6.53COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YK 1881kW/6.53COP/Vanes,1
#,ReformEIRChiller McQuay PEH 1895kW_6.42COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PEH 1895kW/6.42COP/Vanes,1
#,ReformEIRChiller York YT 1934kW_7.55COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1934kW/7.55COP/Vanes,1
#,ReformEIRChiller McQuay PEH 1934kW_6.01COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PEH 1934kW/6.01COP/Vanes,1
#,ReformEIRChiller McQuay WDC 1973kW_6.28COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay WDC 1973kW/6.28COP/Vanes,1
#,ReformEIRChiller York YK 1997kW_7.24COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YK 1997kW/7.24COP/Vanes,1
#,ReformEIRChiller McQuay PFH 2043kW_8.44COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PFH 2043kW/8.44COP/Vanes,1
#,ReformEIRChiller Trane CVHF 2043kW_9.08COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Trane CVHF 2043kW/9.08COP/Vanes,1
#,ReformEIRChiller Carrier 19XL 2057kW_6.05COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XL 2057kW/6.05COP/Vanes,1
