skip,case_name,:main_cool_coil_type,:chw_chiller_model,:chw_chiller_eir_fplr_type,:chw_chiller_cop,:chw_cooling_source,:chw_chiller_type,:chw_wc_option,:chw_pump_type,:chw_chiller_condenser,:cool_sizing_factor,:main_hvac_type,:heat_sizing_factor,:hvac_config,:main_atu_reheat_coil_type,:main_atu_reheat_control,:main_fan_rise,:main_heat_coil_type,:main_dx_type,:main_sat_reset_type,:main_sat_temp_max,:main_design_peak_load,:main_oa_econ_type,:main_cool_coil_cop,:main_dx_comp_speed,:main_cool_flow_min_frac,:main_unitary_no_load_flow_method,:main_fan_speed,:main_fan_motor_eff,:main_heat_coil_cop,:main_heat_coil_eff,:main_heat_flow_frac,:hw_boiler_eff,:chw_library_chiller_model,:chw_num_chillers
#,ReformEIRChiller Carrier 19XR 897kW_6.50COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 897kW/6.50COP/Vanes,1
#,ReformEIRChiller York YT 897kW_7.60COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 897kW/7.60COP/VSD,1
#,ReformEIRChiller York YT 897kW_6.27COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 897kW/6.27COP/VSD,1
#,ReformEIRChiller Carrier 19XR 897kW_6.23COP_VSD,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 897kW/6.23COP/VSD,1
#,ReformEIRChiller McQuay PFH 932kW_5.09COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PFH 932kW/5.09COP/Vanes,1
#,ReformEIRChiller York YT 960kW_4.64COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 960kW/4.64COP/Vanes,1
#,ReformEIRChiller York YT 1023kW_5.81COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1023kW/5.81COP/Vanes,1
#,ReformEIRChiller McQuay PEH 1030kW_8.58COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller McQuay PEH 1030kW/8.58COP/Vanes,1
#,ReformEIRChiller York YT 1048kW_6.06COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1048kW/6.06COP/Vanes,1
#,ReformEIRChiller York YT 1055kW_5.96COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller York YT 1055kW/5.96COP/Vanes,1
#,ReformEIRChiller Carrier 19XR 1076kW_5.52COP_Vanes,WATER,,LeavingCondenserWaterTemperature,,CHILLER,ELECTRIC,Reformulated,VARIABLE,WATERCOOLED,1.15,MZ-VAV,1.25,FLOOR,WATER,DUAL-MAX-LIMIT,5.361969['in H2O'],WATER,PNNL,WARMEST-ZONE,60.0['F'],COINCIDENT,FIXED-DRY-BULB,,,,,VARIABLE,0.9,,,0.5,0.805,ReformEIRChiller Carrier 19XR 1076kW/5.52COP/Vanes,1
