skip,case_name,:dhw_water_heater_volume,:dhw_water_heater_capacity,:dhw_water_heater_fuel,:dhw_gas_water_heater_eff,:dhw_gas_wh_config,:dhw_gas_dhw_loop_configuration,:guestroom_dhw_loop_configuration,:laundry_dhw_loop_configuration,:office_large_dhw_loop_configuration
,Central_RecircLoop,Autosize,Autosize,NaturalGas,0.8,CENTRAL,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP,RECIRCULATION-LOOP
,Separate_DefaultLoop,Autosize,Autosize,NaturalGas,0.8,SEPARATE,DEFAULT-LOOP,DEFAULT-LOOP,DEFAULT-LOOP,DEFAULT-LOOP
